iter	Passed	Remaining
957	8568	375
958	8575	366
959	8583	357
960	8591	348
961	8600	339
962	8608	330
963	8615	321
964	8621	312
965	8628	303
966	8636	294
967	8643	285
968	8651	276
969	8658	267
970	8667	258
971	8674	249
972	8681	240
973	8688	231
974	8695	222
975	8702	214
976	8709	205
977	8718	196
978	8726	187
979	8734	178
980	8741	169
981	8750	160
982	8759	151
983	8767	142
984	8775	133
985	8786	124
986	8796	115
987	8805	106
988	8813	98
989	8821	89
990	8831	80
991	8838	71
992	8846	62
993	8853	53
994	8864	44
995	8872	35
996	8881	26
997	8893	17
998	8901	8
999	8910	0
